code,industry,update_date
sz002367,专用设备,2025-12-12
sz002368,IT服务,2025-12-12
sz002369,消费电子,2025-12-12
sz002370,化学制药,2025-12-12
sz002372,建筑材料,2025-12-12
sz002373,IT服务,2025-12-12
sz002375,建筑装饰,2025-12-12
sz002376,计算机设备,2025-12-12
sz002377,石油加工贸易,2025-12-12
sz002378,小金属,2025-12-12
sz002379,工业金属,2025-12-12
sz002380,IT服务,2025-12-12
sz002381,橡胶制品,2025-12-12
sz002382,医疗器械,2025-12-12
sz002383,军工电子,2025-12-12
sz002385,农产品加工,2025-12-12
sz002386,化学原料,2025-12-12
sz002387,光学光电子,2025-12-12
sz002389,军工装备,2025-12-12
sz002390,中药,2025-12-12
sz002391,农化制品,2025-12-12
sz002392,建筑材料,2025-12-12
sz002393,化学制药,2025-12-12
sz002394,纺织制造,2025-12-12
sz002395,塑料制品,2025-12-12
sz002396,通信设备,2025-12-12
sz002397,服装家纺,2025-12-12
sz002398,建筑材料,2025-12-12
sz002399,化学制药,2025-12-12
sz002400,文化传媒,2025-12-12
sz002401,IT服务,2025-12-12
sz002403,小家电,2025-12-12
sz002404,服装家纺,2025-12-12
sz002405,软件开发,2025-12-12
sz002406,汽车零部件,2025-12-12
sz002407,化学制品,2025-12-12
sz002408,石油加工贸易,2025-12-12
sz002410,软件开发,2025-12-12
sz002412,中药,2025-12-12
sz002413,军工电子,2025-12-12
sz002414,军工电子,2025-12-12
sz002415,计算机设备,2025-12-12
sz002416,零售,2025-12-12
sz002418,白色家电,2025-12-12
sz002419,零售,2025-12-12
sz002420,汽车零部件,2025-12-12
sz002421,IT服务,2025-12-12
sz002423,多元金融,2025-12-12
sz002424,中药,2025-12-12
sz002425,游戏,2025-12-12
sz002426,消费电子,2025-12-12
sz002427,化学纤维,2025-12-12
sz002428,小金属,2025-12-12
sz002429,黑色家电,2025-12-12
sz002431,建筑装饰,2025-12-12
sz002434,汽车零部件,2025-12-12
sz002436,元件,2025-12-12
sz002437,化学制药,2025-12-12
sz002439,软件开发,2025-12-12
sz002440,化学制品,2025-12-12
sz002441,电网设备,2025-12-12
sz002442,橡胶制品,2025-12-12
sz002443,钢铁,2025-12-12
sz002445,通用设备,2025-12-12
sz002446,军工电子,2025-12-12
sz002448,汽车零部件,2025-12-12
sz002449,光学光电子,2025-12-12
sz002452,电网设备,2025-12-12
sz002453,化学制品,2025-12-12
sz002454,汽车零部件,2025-12-12
sz002455,化学制品,2025-12-12
sz002456,光学光电子,2025-12-12
sz002457,建筑材料,2025-12-12
sz002458,养殖业,2025-12-12
sz002459,光伏设备,2025-12-12
sz002461,饮料制造,2025-12-12
sz002462,医药商业,2025-12-12
sz002465,军工电子,2025-12-12
sz002467,通信服务,2025-12-12
sz002468,物流,2025-12-12
sz002469,化学原料,2025-12-12
sz002470,农化制品,2025-12-12
sz002474,IT服务,2025-12-12
sz002476,石油加工贸易,2025-12-12
sz002479,电力,2025-12-12
sz002480,电力,2025-12-12
sz002481,农产品加工,2025-12-12
sz002482,建筑装饰,2025-12-12
sz002483,专用设备,2025-12-12
sz002484,元件,2025-12-12
sz002486,服装家纺,2025-12-12
sz002488,汽车零部件,2025-12-12
sz002489,家居用品,2025-12-12
sz002490,专用设备,2025-12-12
sz002491,通信设备,2025-12-12
sz002492,物流,2025-12-12
sz002493,石油加工贸易,2025-12-12
sz002494,服装家纺,2025-12-12
sz002495,食品加工制造,2025-12-12
sz002497,化学制品,2025-12-12
sz002498,电网设备,2025-12-12
sz002500,证券,2025-12-12
sz002501,工业金属,2025-12-12
sz002506,光伏设备,2025-12-12
sz002507,食品加工制造,2025-12-12
sz002508,厨卫电器,2025-12-12
sz002510,汽车零部件,2025-12-12
sz002511,美容护理,2025-12-12
sz002512,计算机设备,2025-12-12
sz002513,农化制品,2025-12-12
sz002514,通用设备,2025-12-12
sz002515,食品加工制造,2025-12-12
sz002516,汽车零部件,2025-12-12
sz002517,游戏,2025-12-12
sz002519,军工电子,2025-12-12
sz002520,通用设备,2025-12-12
sz002521,造纸,2025-12-12
sz002522,塑料制品,2025-12-12
sz002523,专用设备,2025-12-12
sz002524,医疗服务,2025-12-12
sz002526,专用设备,2025-12-12
sz002527,自动化设备,2025-12-12
sz002530,通用设备,2025-12-12
sz002531,风电设备,2025-12-12
sz002532,工业金属,2025-12-12
sz002533,电网设备,2025-12-12
sz002534,其他电源设备,2025-12-12
sz002535,专用设备,2025-12-12
sz002536,汽车零部件,2025-12-12
sz002537,汽车零部件,2025-12-12
sz002538,农化制品,2025-12-12
sz002539,农化制品,2025-12-12
sz002540,工业金属,2025-12-12
sz002541,建筑装饰,2025-12-12
sz002542,建筑装饰,2025-12-12
sz002543,厨卫电器,2025-12-12
sz002545,农化制品,2025-12-12
sz002546,电网设备,2025-12-12
sz002547,汽车零部件,2025-12-12
sz002548,农产品加工,2025-12-12
sz002549,环境治理,2025-12-12
sz002550,化学制药,2025-12-12
sz002551,医疗器械,2025-12-12
sz002552,元件,2025-12-12
sz002554,油气开采及服务,2025-12-12
sz002555,游戏,2025-12-12
sz002556,种植业与林业,2025-12-12
sz002557,食品加工制造,2025-12-12
sz002559,通用设备,2025-12-12
sz002560,电网设备,2025-12-12
sz002561,零售,2025-12-12
sz002562,化学制品,2025-12-12
sz002563,服装家纺,2025-12-12
sz002564,专用设备,2025-12-12
sz002566,中药,2025-12-12
sz002567,农产品加工,2025-12-12
sz002568,饮料制造,2025-12-12
sz002570,饮料制造,2025-12-12
sz002571,家居用品,2025-12-12
sz002572,家居用品,2025-12-12
sz002573,环境治理,2025-12-12
sz002574,服装家纺,2025-12-12
sz002575,综合,2025-12-12
sz002576,电机,2025-12-12
sz002577,计算机设备,2025-12-12
sz002578,工业金属,2025-12-12
sz002579,元件,2025-12-12
sz002580,电池,2025-12-12
sz002582,食品加工制造,2025-12-12
sz002583,通信设备,2025-12-12
sz002585,塑料制品,2025-12-12
sz002587,光学光电子,2025-12-12
sz002588,农化制品,2025-12-12
sz002589,医药商业,2025-12-12
sz002590,汽车零部件,2025-12-12
sz002591,化学制品,2025-12-12
sz002593,建筑装饰,2025-12-12
sz002596,建筑材料,2025-12-12
sz002597,化学制品,2025-12-12
sz002598,通用设备,2025-12-12
sz002599,包装印刷,2025-12-12
sz002600,消费电子,2025-12-12
sz002601,化学原料,2025-12-12
sz002602,游戏,2025-12-12
sz002603,中药,2025-12-12
sz002605,游戏,2025-12-12
sz002606,电网设备,2025-12-12
sz002607,教育,2025-12-12
sz002608,电力,2025-12-12
sz002609,IT服务,2025-12-12
sz002611,专用设备,2025-12-12
sz002612,服装家纺,2025-12-12
sz002613,建筑材料,2025-12-12
sz002614,小家电,2025-12-12
sz002615,家居用品,2025-12-12
sz002616,电力,2025-12-12
sz002617,电力,2025-12-12
sz002622,医疗服务,2025-12-12
sz002623,光伏设备,2025-12-12
sz002624,游戏,2025-12-12
sz002626,食品加工制造,2025-12-12
sz002627,旅游及酒店,2025-12-12
sz002628,建筑装饰,2025-12-12
sz002629,建筑装饰,2025-12-12
sz002631,家居用品,2025-12-12
sz002632,塑料制品,2025-12-12
sz002633,通用设备,2025-12-12
sz002634,服装家纺,2025-12-12
sz002635,消费电子,2025-12-12
sz002636,元件,2025-12-12
sz002637,化学制品,2025-12-12
sz002638,光学光电子,2025-12-12
sz002640,互联网电商,2025-12-12
